utr_id,upi_id,mobile_number,is_fake
20250421064235556682,9666790482@ibl,9666790482,0
17339727621,9549905627@ybl,9549905627,1
20250421064235869538,9657711225@axl,9657711225,0
20250421064235447535,9018087638@ybl,9018087638,0
20250421064235300591,9953374842@ybl,9953374842,0
20250421064235130250,9064219707@okaxis,9064219707,0
20250421064235202050,9007449204@okhdfcbank,9007449204,0
20250421064235039131,9672006735@axl,9672006735,0
20250421064235708065,9585843709@okhdfcbank,9585843709,0
20250421064235746038X,9975296309@okaxis,9975296309,1
20250421064235016791,9889990346@okicici,9889990346,0
20250421064235537923,9420004396@ibl,9420004396,0
20250421064235718149,9988470727@okaxis,9988470727,0
20250421064235078318,9877034177@ibl,9877034177,0
59765333435,9408639920@okaxis,9408639920,1
20250421064235303836,9313783214@ibl,9313783214,0
20250421064235858653ZZ,9425968494@ibl,9425968494,1
20250421064235433438,9182262121@okhdfcbank,9182262121,0
20250421064235492052,9505473090@okicici,9505473090,0
20250421064235008584,9968172610@okicici,9968172610,0
20250421064235675021,9341038793@ibl,9341038793,0
00000421064235109587,9583886777@okaxis,9583886777,1
20250421064235826051X,9727543157@ibl,9727543157,1
82427667977,9344434260@ibl,9344434260,1
20250421064235740780,9716284418@axl,9716284418,0
20250421064235277417,9425216640@ibl,9425216640,0
20250421064235932,9059556166@axl,9059556166,1
202504210642351317,9463734928@okaxis,9463734928,1
20250421064235398622,9869606829@axl,9869606829,0
2025042106423585878,9401866249@ybl,9401866249,1
20250421064235961357#,9231822705@ybl,9231822705,1
20250421064235230758,9073411447@ybl,9073411447,0
20250421064235463994ZZ,9873019524@okhdfcbank,9873019524,1
20250421064235312454#,9303058705@okhdfcbank,9303058705,1
20250421064235396784,9891918333@ibl,9891918333,0
20250421064235295603,9282104996@okicici,9282104996,0
20250421064235282349,9985021509@okaxis,9985021509,0
20250421064235734932,9185185548@okicici,9185185548,0
00000421064235700817,9383340285@okhdfcbank,9383340285,1
20250421064235007765,9512614715@okicici,9512614715,0
20250421064235836154,9776275382@axl,9776275382,0
83255323,9576574893@okaxis,9576574893,1
20250421064235015636ZZ,9065619125@okhdfcbank,9065619125,1
20250421064235354052,9596217807@axl,9596217807,0
20250421064235987573,9136917954@ybl,9136917954,0
00000421064235474827,9291532503@okhdfcbank,9291532503,1
20250421064235599617,9262998935@axl,9262998935,0
20250421064235632493X,9511688428@ibl,9511688428,1
20250421064235097941ZZ,9060921559@ibl,9060921559,1
202504210642356983,9718202056@okhdfcbank,9718202056,1
20250421064235038,9027490146@okhdfcbank,9027490146,1
20250421064235893747,9298080322@ibl,9298080322,0
20250421064235213449ZZ,9248456010@okicici,9248456010,1
20250421064235366151,9905112442@okicici,9905112442,0
20250421064235880436,9881881940@okaxis,9881881940,0
20250421064235894867,9237395147@ybl,9237395147,0
20250421064235893753ZZ,9679270324@okicici,9679270324,1
202504210642359734,9562462082@ibl,9562462082,1
00000421064235641779,9262382694@okhdfcbank,9262382694,1
728544387846,9926643499@axl,9926643499,1
00000421064235596319,9002089927@okhdfcbank,9002089927,1
20250421064235267233,9592050280@axl,9592050280,0
00000421064235527819,9704408486@ibl,9704408486,1
20250421064235050727ZZ,9515667564@okicici,9515667564,1
407584280,9884514616@ibl,9884514616,1
20250421064235617164,9796789530@ybl,9796789530,0
20250421064235484734,9523745952@okicici,9523745952,0
20250421064235838457,9250547080@okhdfcbank,9250547080,0
9150577907,9528661661@okicici,9528661661,1
423244869,9572051117@axl,9572051117,1
20250421064235316662X,9031723840@ibl,9031723840,1
20250421064235856009ZZ,9247753607@ybl,9247753607,1
20250421064235229739,9582753359@ybl,9582753359,0
20250421064235663038ZZ,9181142177@axl,9181142177,1
8820258975,9068694816@okaxis,9068694816,1
20250421064235781309,9828035719@okhdfcbank,9828035719,0
00000421064235691996,9136860307@axl,9136860307,1
20250421064235744462X,9692921491@okaxis,9692921491,1
